keyword,severity,category
বেশ্যা,critical,abuse
মাগী,critical,abuse
মাদারচোদ,critical,abuse
হেডা,critical,abuse
নডি,critical,abuse
চুদি,critical,abuse
খানকি,critical,abuse
রেন্ডি,critical,abuse
বোকাচোদা,critical,abuse
বেহেনচোদ,high,abuse
বাল,high,abuse
লুম,high,abuse
নদীর,high,abuse
হারামজাদা,medium,abuse
কুত্তা,medium,abuse
শুয়োরের বাচ্চা,medium,abuse
অসভ্য,medium,abuse
চোদনা,medium,abuse
গালি,low,abuse
গালাগালি,low,abuse
অভদ্র,low,abuse
মূর্খ,low,abuse
গাধা,low,abuse
পাগল,low,abuse
হারামি,low,abuse
