keyword,severity,category
হেরোইন,critical,narcotics
ইয়াবা,critical,narcotics
হিরোইন,critical,narcotics
এলএসডি,critical,narcotics
কোকেন,critical,narcotics
কোকেইন,critical,narcotics
বিষ,critical,narcotics
ওষুধ,low,narcotics
ড্রাগ,critical,narcotics
নেশা,high,narcotics
নেশাখোর,high,narcotics
ড্রাগ নেওয়া,high,narcotics
সুই,medium,narcotics
ড্রাগস,medium,narcotics
চোরাপথে,medium,narcotics
গুঁড়া,medium,narcotics
দেশি মদ,medium,narcotics
নেশাগ্রস্ত,medium,narcotics
গাঁজা,medium,narcotics
মদ,medium,narcotics
মদ্যপান,medium,narcotics
ডোজ,medium,narcotics
ট্যাবলেট,medium,narcotics
পিলস,medium,narcotics
পাউডার,medium,narcotics
নেশার জিনিস,medium,narcotics
সিরাপ,low,narcotics
ইনজেকশন,low,narcotics
হাই হওয়া,low,narcotics
গাঞ্জা,low,narcotics
জয়েন্ট,low,narcotics
