keyword,severity,category
হত্যা,critical,violent
খুন,critical,violent
গলা কাটা,critical,violent
মার্ডার,critical,violent
মুর্দার,critical,violent
মুরদের,critical,violent
কাইট্টা,critical,violent
কাইট্টা লামু,critical,violent
মাইরা,critical,violent
চাক্কু,high,violent
মাইরালা,high,violent
ডাগ্গের,high,violent
বন্দুক,high,violent
বোমা,high,violent
বোম,high,violent
আক্রমণ,high,violent
হামলা,high,violent
অস্ত্র,high,violent
গুলি,high,violent
পিটটা,high,violent
লাদি,medium,violent
পিট্টা,high,violent
মাইরাদিমু ,critical,violent
মাইরাদে ,high,violent
ঝগড়া,medium,violent
মৃত্যু,medium,violent
রক্তপাত,medium,violent
মাইরা লামু,critical,violent
মাইরা দিমু,critical,violent
মাইরা লাইছি,critical,violent
মাইরালাইছি,critical,violent
শেষ কৈরালামু ,critical,violent
শেষ,high,violent
শেষকৈরালামু,critical,violent
মারুম,high,violent
মরসস,high,violent
 মার ,high,violent
গাইড়া,high,violent
খেল খতম,high,violent
হাড্ডি,high,violent
দাঁত,high,violent
ভাঙ্গুম,high,violent
জালাইলামু  ,high,violent
মইরা,critical,violent
মারা,high,violent
ময়রা,high,violent
